"EffectiveDate";"Status";"SubService";"ExpressRoute";"Protocol";"Port";"Value";"Guid";"PublicationDate";"DescriptionIsParsable";"OperationType";"QuickDescription"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.225.224/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.227.128/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.229.0/25";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.229.160/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.231.32/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.232.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.235.64/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.238.128/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.24.128/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.48.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.80.128/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.81.192/26";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.113.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.132.128/26";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.56.150.32/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"191.234.148.0/22";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"191.234.152.0/23";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"191.234.208.0/23";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"207.46.203.128/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"213.199.179.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"65.55.121.128/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"66.119.157.160/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"111.221.76.96/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"131.253.178.0/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"131.253.178.64/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"131.253.178.96/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"131.253.178.128/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"131.253.178.160/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"134.170.115.0/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"134.170.119.224/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"134.170.53.32/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
